opportunityId	date	agency	title	deadline	awardCeiling	status
361808	2026-04-09	ED-OESE	Innovative Approaches to Literacy 84.215G	06/09/2026		new
346815	2026-04-09	DOC-EDA	FY 2025 EDA Public Works and Economic Adjustment Assistance	rolling		new
361307	2026-04-09	DOL-ETA	Strengthening Community Colleges Training Grants (Round 6)	05/20/2026		new
359103	2026-04-09	NSF	Eddie Bernice Johnson INCLUDES	05/12/2026		new
346203	2026-04-09	NSF	GRANTED - Growing Research Access for Economic Development	rolling		new
355297	2026-04-09	HHS-NIH	NCI Youth Enjoy Science Research Education Program (R25)	09/28/2026		new
361493	2026-04-09	DOS-ECA	U.S. LEADS - Education, Manufacturing, Digital Skills	05/18/2026		new
344124	2026-04-09	NSF	Improving Undergraduate STEM Education (IUSE)	07/15/2026		new
361526	2026-04-09	DOE-SC	The Genesis Mission: Transforming Science and Energy with AI	12/17/2026		new
359104	2026-04-09	NSF	Louis Stokes Alliances for Minority Participation (LSAMP)	11/20/2026		new
